"","Longitude","Latitude","School.ID","Enrollment.x","Grade.Level","src_school_id","school_name","overall_city_rank","ach_city_rank","prog_city_rank","clim_city_rank","cc_city_rank","Serious.Incidents","Total.Suspensions","Count.Native.American.y","Percent.Native.American.y","Count.Asian.y","Percent.Asian.y","Count.Black.y","Percent.Black.y","Count.Hispanic.y","Percent.Hispanic.y","Count.Multirace.y","Percent.Multirace.y","Count.Pacific.Islander.y","Percent.Pacific.Islander.y","Count.White.y","Percent.White.y"
"157",-75.156,39.965,5560,275,"Elem/Middle","556","Spring Garden School","66th of 126","88th of 126","23rd of 126","93rd of 126",NA,5,25,1,0.00363636,9,0.03272727,214,0.77818182,40,0.14545455,7,0.02545455,0,0,4,0.01454545
"158",-75.176,39.942,2480,259,"Elem/Middle","248","Chester A. Arthur School","119th of 126","94th of 126","123rd of 126","106th of 126",NA,20,60,0,0,9,0.03474903,205,0.79150579,10,0.03861004,24,0.09266409,0,0,11,0.04247104
"159",-75.233,39.94,1350,485,"Elem/Middle","135","William C. Longstreth School","112nd of 126","105th of 126","102nd of 126","115th of 126",NA,17,176,3,0.00618557,2,0.00412371,463,0.95463918,3,0.00618557,13,0.02680412,0,0,1,0.00206186
"160",-75.16,39.963,5080,535,"High School","508","Parkway Center City High School","13th of 71","17th of 70","10th of 71","20th of 72","11th of 70",9,15,1,0.00186916,34,0.0635514,442,0.82616822,42,0.07850467,8,0.01495327,0,0,8,0.01495327
"161",-75.092,40.036,7120,1101,"High School","712","Samuel Fels High School","58th of 71","46th of 70","50th of 71","58th of 72","56th of 70",205,504,3,0.0027248,88,0.07992734,732,0.66485014,223,0.20254314,20,0.0181653,1,0.00090827,34,0.03088102
"162",-75.174,39.952,3318,947,"Middle/High","W18","Freire Charter School","19th of 71","17th of 70","12th of 71","35th of 72","38th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",-75.174,39.952,3318,947,"Middle/High","W18","Freire Charter School","19th of 71","17th of 70","12th of 71","35th of 72","38th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",-75.174,39.952,3318,947,"Middle/High","W18","Freire Charter School","12th of 33","17th of 33","7th of 33","21st of 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",-75.174,39.952,3318,947,"Middle/High","W18","Freire Charter School","12th of 33","17th of 33","7th of 33","21st of 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",-75.148,39.968,3329,251,"Middle School","W29","Young Scholars Charter School","City Leader","7th of 33","City Leader","4th of 33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",-75.082,40.007,3364,1290,"Tutoring","W64","First Philadelphia Preparatory Charter School","57th of 126","27th of 126","94th of 126","41st of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",-75.243,39.918,3392,489,"Elem/Middle","W92","Southwest Leadership Academy Charter School","38th of 126","50th of 126","46th of 126","25th of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",-75.187,39.928,3313,576,"High School","W13","Preparatory Charter School of Mathematics, Science, Technology and Careers","11th of 71","14th of 70","10th of 71","16th of 72","19th of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",-75.252,39.973,3302,545,"Elem/Middle","W02","Harambee Institute of Science and Technology Charter School","35th of 126","38th of 126","51st of 126","21st of 126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",-75.165,39.951,3358,575,"High School","W58","Philadelphia Electrical and Technology Charter School","25th of 71","31st of 70","9th of 71","48th of 72","32nd of 70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
